Title,Author,Genres,Description,Mood
Steve Jobs,Walter Isaacson,Biography,The definitive biography of the Apple co-founder.,epic
Daisy Jones & The Six,Taylor Jenkins Reid,Drama,The rise and fall of a famous 70s rock band.,uplifting
The Paris Apartment,Lucy Foley,Mystery,A woman looks for her missing brother in a luxury apartment building.,dark
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,Drama,Two friends become legendary video game designers.,uplifting
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,Mystery,A man must solve a murder in a repeating day.,dark
Cloud Cuckoo Land,Anthony Doerr,Historical Fiction,Five children across different eras are connected by a single book.,epic
Sea of Tranquility,Emily St. John Mandel,Science Fiction,A time-traveling detective investigates a mysterious anomaly.,dark
Killers of the Flower Moon,David Grann,Horror,The story of the Osage Indian murders and the birth of the FBI.,dark
The Body Keeps the Score,Bessel van der Kolk,Self-Help,How trauma affects the brain and body.,dark
The Last Lecture,Randy Pausch,Biography,A professor's final message to his children and students.,uplifting
The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,A woman makes a bargain to live forever but be forgotten by everyone.,dark
The Maid,Nita Prose,Mystery,A hotel maid investigates a murder in the suite of a wealthy guest.,cosy
Book Lovers,Emily Henry,Romance,Two literary rivals find themselves in the same small town.,cosy
The Thursday Murder Club,Richard Osman,Mystery,Four retirees investigate cold cases.,cosy
Piranesi,Susanna Clarke,Fantasy,A man lives in a vast and infinite house full of statues.,dark
Reminders of Him,Colleen Hoover,Romance,A woman returns to her hometown to reconnect with her daughter.,dark
Firekeeper's Daughter,Angeline Boulley,Thriller,An Ojibwe teen goes undercover to investigate a drug ring.,dark
The Paper Palace,Miranda Cowley Heller,Drama,A woman's life changes over 24 hours at her family's summer camp.,dark
The Lincoln Highway,Amor Towles,Adventure,Two brothers journey across America in the 1950s.,uplifting
Great Circle,Maggie Shipstead,Historical Fiction,The lives of a female aviator and a modern-day actress collide.,epic
The Four Winds,Kristin Hannah,Historical Fiction,A woman fights for survival during the Dust Bowl.,dark
Greenlights,Matthew McConaughey,Biography,A memoir of the Academy Award-winning actor.,uplifting
Crying in H Mart,Michelle Zauner,Biography,A memoir of a Korean-American musician and her relationship with her mother.,dark
The It Girl,Ruth Ware,Thriller,A woman investigates the murder of her university roommate.,dark
Demon Copperhead,Barbara Kingsolver,Drama,A modern-day retelling of David Copperfield set in Appalachia.,dark
The Marriage Portrait,Maggie O'Farrell,Historical Fiction,A young duchess navigates the treacherous Medici court.,dark
A Court of Thorns and Roses,Sarah J. Maas,Fantasy,A huntress is taken to a magical land of faeries.,dark
Beach Read,Emily Henry,Romance,Two writers spend the summer swaping lives.,cosy
The Sanatorium,Sarah Pearse,Thriller,A woman investigates a disappearance at a luxury hotel in the Swiss Alps.,dark
The Hacienda,Isabel Canas,Horror,A young woman renovates a cursed mansion in post-independence Mexico.,dark
Malorie,Josh Malerman,Horror,The sequel to Bird Box.,dark
Verity,Colleen Hoover,Thriller,A writer uncovers a chilling manuscript by a famous author.,dark
The Push,Ashley Audrain,Thriller,A woman's life unravels after the birth of her daughter.,dark
Local Woman Missing,Mary Kubica,Thriller,A woman's disappearance reveals secrets in her quiet neighborhood.,dark
The Plot,Jean Hanff Korelitz,Thriller,A writer steals a plot from a deceased student.,dark
The Last Thing He Told Me,Laura Dave,Thriller,A woman investigates her husband's disappearance.,dark
One by One,Ruth Ware,Thriller,A group of coworkers are stranded at a mountain lodge.,dark
The Guest List,Lucy Foley,Thriller,A wedding on a remote island turns deadly.,dark
The Hunting Party,Lucy Foley,Thriller,A group of friends are stranded at a hunting lodge.,dark
The Sanatorium,Sarah Pearse,Thriller,A woman investigates a disappearance at a luxury hotel.,dark
